AuthorId,PaperId
731,24943
731,688974
731,964345
731,1201905
731,1267992
731,1298546
731,2180622
2109,238936
2109,359598
2109,479485
2109,521953
2109,613087
2109,902615
2109,1190322
2109,1247551
2109,1431351
2109,1771318
2109,1817653
2109,2008262
2109,2086862
2109,2099971
2139,236529
2139,338381
2139,1153355
2139,1316625
2139,1480578
2139,1500698
2139,1713884
3874,74404
3874,99770
3874,104081
3874,124910
3874,138420
3874,151363
3874,154232
3874,161561
3874,164486
3874,178104
3874,183847
3874,193237
3874,202571
3874,204924
3874,217590
3874,230163
3874,237192
3874,258276
3874,261646
3874,278790
3874,288855
3874,295071
3874,303181
3874,306591
3874,313565
3874,327666
3874,332419
3874,332726
3874,335785
3874,351251
3874,361566
3874,372782
3874,377520
3874,386914
3874,404557
3874,408273
3874,432089
3874,438348
3874,445073
3874,452604
3874,452759
3874,511293
3874,518697
3874,519400
3874,547716
3874,547961
3874,578344
3874,589808
3874,595892
3874,596902
3874,603576
3874,614999
3874,620553
3874,641329
3874,647374
3874,650107
3874,662496
3874,666365
3874,677818
3874,684808
3874,702695
3874,715208
3874,728803
3874,759169
3874,765062
3874,773044
3874,777754
3874,780442
3874,791469
3874,800250
3874,820899
3874,829048
3874,834456
3874,864676
3874,879469
3874,879933
3874,885751
3874,912907
3874,923589
3874,930242
3874,956102
3874,982762
3874,985220
3874,990946
3874,999743
3874,1016258
3874,1027675
3874,1027766
3874,1032225
3874,1053026
3874,1069277
3874,1071815
3874,1079872
3874,1095849
3874,1100481
3874,1101415
3874,1118797
3874,1126560
3874,1144610
3874,1145708
3874,1155020
3874,1163134
3874,1164027
3874,1166154
3874,1171717
3874,1175936
3874,1216789
3874,1217760
3874,1227402
3874,1236317
3874,1244143
3874,1247773
3874,1257641
3874,1261464
3874,1272320
3874,1278685
3874,1291905
3874,1297344
3874,1320706
3874,1330214
3874,1347708
3874,1351883
3874,1371554
3874,1372505
3874,1401481
3874,1403721
3874,1411365
3874,1428706
3874,1428839
3874,1432131
3874,1444735
3874,1452981
3874,1481304
3874,1492743
3874,1507502
3874,1513250
3874,1519924
3874,1525364
3874,1536011
3874,1567183
3874,1574894
3874,1601245
3874,1642061
3874,1643766
3874,1655430
3874,1657992
3874,1708819
3874,1737019
3874,1748647
3874,1763820
3874,1773997
3874,1783051
3874,1787180
3874,1794501
3874,1797023
3874,1800385
3874,1817868
3874,1829876
3874,1836547
3874,1869712
3874,1882558
3874,1887279
3874,1905413
3874,1937018
3874,1942103
3874,1946185
3874,1947503
3874,1949831
3874,1955528
3874,1975300
3874,1976203
3874,1988879
3874,1995704
3874,1996287
3874,1996584
3874,2002670
3874,2006194
3874,2012539
3874,2013065
3874,2037117
3874,2038483
3874,2057845
3874,2060413
3874,2064770
3874,2068421
3874,2076706
3874,2084023
3874,2093945
3874,2126304
3874,2129699
3874,2143170
3874,2146991
3874,2147802
3874,2159776
3874,2202080
3874,2237436
3874,2237666
3874,2252269
7066,36457
7066,42119
7066,81797
7066,100255
7066,152036
7066,172152
7066,205202
7066,357299
7066,368790
7066,421974
7066,624386
7066,640681
7066,679698
7066,746727
7066,773836
7066,789241
7066,887354
7066,899780
7066,903273
7066,907259
7066,1083827
7066,1189653
7066,1221606
7066,1295585
7066,1314349
7066,1327368
7066,1352649
7066,1365245
7066,1365722
7066,1428865
7066,1462288
7066,1607553
7066,1619933
7066,1629247
7066,1635431
7066,1704691
7066,1787468
7066,1792322
7066,1946381
7066,1958218
7066,2095914
7066,2146172
7066,2165978
7066,2187262
7066,2207535
12442,14067
12442,82104
12442,104378
12442,106864
12442,136478
12442,198826
12442,240804
12442,270298
12442,279237
12442,297806
12442,302826
12442,351092
12442,386897
12442,410047
12442,418241
12442,462251
12442,519980
12442,528383
12442,535694
12442,569543
12442,576399
12442,625528
12442,641413
12442,660399
12442,721392
12442,745330
12442,776726
12442,790119
